Alpha Code,Common Name,Genus,Species
COFF,Collared Forest-Falcon,Micrastur,semitorquatus
COFI,Cocos Finch,Pinaroloxias,inornata
COFL,Cocos Flycatcher,Nesotriccus,ridgwayi
COGA,Common Gallinule,Gallinula,galeata
COGO,Common Goldeneye,Bucephala,clangula
COGR,Common Grackle,Quiscalus,quiscula
COGU,Common Gull,Larus,canus
COHA,Cooper's Hawk,Accipiter,cooperii
COHE,Cocoi Heron,Ardea,cocoi
COHU,Costa's Hummingbird,Calypte,costae
COKI,Couch's Kingbird,Tyrannus,couchii
COLC,Colombian Crake,Mustelirallus,colombianus
COLO,Common Loon,Gavia,immer
COLR,Collared Redstart,Myioborus,torquatus
COLW,Colima Warbler,Leiothlypis,crissalis
COME,Common Merganser,Mergus,merganser
COMG,Common Greenshank,Tringa,nebularia
COMO,Common Moorhen,Gallinula,chloropus
COMP,Common Pochard,Aythya,ferina
COMS,Common Shelduck,Tadorna,tadorna
COMU,Common Murre,Uria,aalge
COMW,Common Waxbill,Estrilda,astrild
COMY,Common Myna,Acridotheres,tristis
CONI,Common Nighthawk,Chordeiles,minor
CONW,Connecticut Warbler,Oporornis,agilis
COPA,Common Pauraque,Nyctidromus,albicollis
COPE,Cook's Petrel,Pterodroma,cookii
COPL,Collared Plover,Charadrius,collaris
COPO,Common Poorwill,Phalaenoptilus,nuttallii
COPR,Collared Pratincole,Glareola,pratincola
CORA,Common Raven,Corvus,corax
CORC,Corn Crake,Crex,crex
CORE,Common Redpoll,Acanthis,flammea
CORO,Common Rosefinch,Carpodacus,erythrinus
CORS,Cory's Shearwater,Calonectris,diomedea
COSA,Common Sandpiper,Actitis,hypoleucos
COSC,Common Scoter,Melanitta,nigra
COSN,Common Snipe,Gallinago,gallinago
COSP,Coiba Spinetail,Cranioleuca,dissita
COSW,Common Swift,Apus,apus
COTE,Common Tern,Sterna,hirundo
COTF,Common Tody-Flycatcher,Todirostrum,cinereum
COTO,Collared Towhee,Pipilo,ocai
COTR,Collared Trogon,Trogon,collaris
COVI,Cozumel Vireo,Vireo,bairdi
COWO,Cocoa Woodcreeper,Xiphorhynchus,susurrans
COYE,Common Yellowthroat,Geothlypis,trichas
COZT,Cozumel Thrasher,Toxostoma,guttatum
CPAK,Cuban Parakeet,Psittacara,euops
CPAT,Cuban Parrot,Amazona,leucocephala
CPOT,Common Potoo,Nyctibius,griseus
CPYO,Colima Pygmy-Owl,Glaucidium,palmarum
CRAU,Crested Auklet,Aethia,cristatella
CRBO,Crested Bobwhite,Colinus,cristatus
CRBR,Costa Rican Brushfinch,Arremon,costaricensis
CRCA,Crested Caracara,Caracara,plancus
CREA,Crested Eagle,Morphnus,guianensis
CREH,Common Redshank,Tringa,totanus
CRET,Common Redstart,Phoenicurus,phoenicurus
CRGU,Crested Guan,Penelope,purpurascens
CRHA,Crane Hawk,Geranospiza,caerulescens
CRMU,Craveri's Murrelet,Synthliboramphus,craveri
CROR,Crested Oropendola,Psarocolius,decumanus
CROW,Crested Owl,Lophostrix,cristata
CRPL,Common Ringed Plover,Charadrius,hiaticula
CRPO,Costa Rican Pygmy-Owl,Glaucidium,costaricanum
CRQD,Crested Quail-Dove,Geotrygon,versicolor
CRRA,California Ridgway's Rail,Rallus,obsoletus obsoletus
CRSE,Cinnamon-rumped Seedeater,Sporophila,torqueola
CRSW,Costa Rican Swift,Chaetura,fumosa
CRTH,Crissal Thrasher,Toxostoma,crissale
CRWA,Costa Rican Warbler,Basileuterus,melanotis
CRWO,Crowned Woodnymph,Thalurania,colombica
CSFL,Crowned Slaty Flycatcher,Empidonomus,aurantioatrocristatus
CSOW,California Spotted Owl,Strix,occidentalis occidentalis
CSSS,Cape Sable Seaside-Sparrow,Ammospiza,maritima mirabilis
CSSV,Chestnut-sided Shrike-Vireo,Vireolanius,melitophrys
CSWA,Chestnut-sided Warbler,Setophaga,pensylvanica
CTSP,Cinnamon-tailed Sparrow,Peucaea,sumichrasti
CTST,Checker-throated Stipplethroat,Epinecrophylla,fulviventris
CUBH,Cuban Black Hawk,Buteogallus,gundlachii
CUBL,Cuban Blackbird,Ptiloxena,atroviolacea
CUBM,Cuban Macaw,Ara,tricolor
CUBU,Cuban Bullfinch,Melopyrrha,nigra
CUCR,Cuban Crow,Corvus,nasicus
CUEM,Cuban Emerald,Riccordia,ricordii
CUGN,Cuban Gnatcatcher,Polioptila,lembeyei
CUGR,Cuban Grassquit,Phonipara,canora
CUKI,Cuban Kite,Chondrohierax,wilsonii
CUMA,Cuban Martin,Progne,cryptoleuca
CUNI,Cuban Nightjar,Antrostomus,cubanensis
CUOR,Cuban Oriole,Icterus,melanopsis
CUPC,Cuban Palm-Crow,Corvus,minutus
CUPE,Cuban Pewee,Contopus,caribaeus
CUPO,Cuban Pygmy-Owl,Glaucidium,siju
CUSA,Curlew Sandpiper,Calidris,ferruginea
CUSO,Cuban Solitaire,Myadestes,elisabeth
CUTO,Cuban Tody,Todus,multicolor
CUTR,Cuban Trogon,Priotelus,temnurus
CUVI,Cuban Vireo,Vireo,gundlachii
CVSH,Cape Verde Shearwater,Calonectris,edwardsii
CWPI,Common Wood Pigeon,Columba,palumbus
CWWI,Chuck-will's-widow,Antrostomus,carolinensis
DAPE,Dark Pewee,Contopus,lugubris
DBCU,Dark-billed Cuckoo,Coccyzus,melacoryphus
DBGR,Double-banded Graytail,Xenerpestes,minlosi
DBJA,Dusky-backed Jacamar,Brachygalba,salmoni
DCCO,Double-crested Cormorant,Nannopterum,auritum
DCFL,Dusky-capped Flycatcher,Myiarchus,tuberculifer
DEJU,Dark-eyed Junco,Junco,hyemalis
DFTA,Dusky-faced Tanager,Mitrospingus,cassinii
DICK,Dickcissel,Spiza,americana
DMAN,Dull-mantled Antbird,Sipia,laemosticta
DOVE,Dovekie,Alle,alle
DOWO,Downy Woodpecker,Dryobates,pubescens
DSFL,Dark-sided Flycatcher,Muscicapa,sibirica
DSSP,Dusky Seaside-Sparrow,Ammospiza,maritima nigrescens
DSTK,Double-striped Thick-knee,Burhinus,bistriatus
DTKI,Double-toothed Kite,Harpagus,bidentatus
DUAN,Dusky Antbird,Cercomacroides,tyrannina
DUFL,Dusky Flycatcher,Empidonax,oberholseri
DUGR,Dusky Grouse,Dendragapus,obscurus
DUHU,Dusky Hummingbird,Phaeoptila,sordida
DUNI,Dusky Nightjar,Antrostomus,saturatus
DUNL,Dunlin,Calidris,alpina
DUPI,Dusky Pigeon,Patagioenas,goodsoni
DUTH,Dusky Thrush,Turdus,eunomus
DUWA,Dusky Warbler,Phylloscopus,fuscatus
DWAN,Dot-winged Antwren,Microrhopias,quixensis
DWCU,Dwarf Cuckoo,Coccycua,pumila
DWJA,Dwarf Jay,Cyanolyca,nanus
DWVI,Dwarf Vireo,Vireo,nelsoni
EABL,Eastern Bluebird,Sialia,sialis
EACT,Eastern Chat-Tanager,Calyptophilus,frugivorus
EADO,Eared Dove,Zenaida,auriculata
EAGR,Eared Grebe,Podiceps,nigricollis
EAKI,Eastern Kingbird,Tyrannus,tyrannus
EAME,Eastern Meadowlark,Sturnella,magna
EAPH,Eastern Phoebe,Sayornis,phoebe
EAPO,Eared Poorwill,Nyctiphrynus,mcleodii
EAQU,Eared Quetzal,Euptilotis,neoxenus
EASO,Eastern Screech-Owl,Megascops,asio
EATO,Eastern Towhee,Pipilo,erythrophthalmus
EAWP,Eastern Wood-Pewee,Contopus,virens
EBRA,Eastern Black Rail,Laterallus,jamaicensis jamaicensis
ECHU,Emerald-chinned Hummingbird,Abeillia,abeillei
EGGO,Egyptian Goose,Alopochen,aegyptiaca
EGOL,European Goldfinch,Carduelis,carduelis
EGWT,Eurasian Green-winged Teal,Anas,crecca crecca
EHOB,Eurasian Hobby,Falco,subbuteo
EHOO,Eurasian Hoopoe,Upupa,epops
ELEU,Elegant Euphonia,Chlorophonia,elegantissima
ELOW,Elf Owl,Micrathene,whitneyi
ELQU,Elegant Quail,Callipepla,douglasii
ELTE,Elegant Tern,Thalasseus,elegans
ELTR,Elegant Trogon,Trogon,elegans
EMGO,Emperor Goose,Anser,canagicus
EMTA,Emerald Tanager,Tangara,florida
ERFL,Eye-ringed Flatbill,Rhynchocyclus,brevirostris
ERFR,Erckel's Francolin,Pternistis,erckelii
ESBD,Eastern Spot-billed Duck,Anas,zonorhyncha
ESCU,Eskimo Curlew,Numenius,borealis
ETSP,Eurasian Tree Sparrow,Passer,montanus
EUBB,Eurasian Blackbird,Turdus,merula
EUBC,Eurasian Blackcap,Sylvia,atricapilla
EUBU,Eurasian Bullfinch,Pyrrhula,pyrrhula
EUCD,Eurasian Collared-Dove,Streptopelia,decaocto
EUCO,Eurasian Coot,Fulica,atra
EUCU,Eurasian Curlew,Numenius,arquata
EUDO,Eurasian Dotterel,Charadrius,morinellus
EUFL,Euler's Flycatcher,Lathrotriccus,euleri
EUGO,Eurasian Goshawk,Accipiter,gentilis
EUGP,European Golden-Plover,Pluvialis,apricaria
EUJA,Eurasian Jackdaw,Corvus,monedula
EUKE,Eurasian Kestrel,Falco,tinnunculus
EUOY,Eurasian Oystercatcher,Haematopus,ostralegus
EURO,European Robin,Erithacus,rubecula
EURS,Eurasian Spoonbill,Platalea,leucorodia
EUSI,Eurasian Siskin,Spinus,spinus
EUSK,Eurasian Skylark,Alauda,arvensis
EUSP,European Storm-Petrel,Hydrobates,pelagicus
EUST,European Starling,Sturnus,vulgaris
EUTD,European Turtle-Dove,Streptopelia,turtur
EUWI,Eurasian Wigeon,Mareca,penelope
EUWO,Eurasian Woodcock,Scolopax,rusticola
EUWR,Eurasian Wryneck,Jynx,torquilla
EVGR,Evening Grosbeak,Coccothraustes,vespertinus
EWCS,Eastern White-crowned Sparrow,Zonotrichia,leucophrys leucophrys
EWME,Eastern/Western Meadowlark,Sturnella,magna/neglecta
EWPW,Eastern Whip-poor-will,Antrostomus,vociferus
EWWA,Elfin-woods Warbler,Setophaga,angelae
EYTH,Eyebrowed Thrush,Turdus,obscurus
EYWA,Eastern Yellow Wagtail,Motacilla,tschutschensis
FAAN,Fasciated Antshrike,Cymbilaimus,lineatus
FADU,Falcated Duck,Mareca,falcata
FBAR,Fiery-billed Aracari,Pteroglossus,frantzii
FBVI,Flat-billed Vireo,Vireo,nanus
FCTA,Flame-colored Tanager,Piranga,bidentata
FECU,Far Eastern Curlew,Numenius,madagascariensis
FEFL,Fernandina's Flicker,Colaptes,fernandinae
FEHA,Ferruginous Hawk,Buteo,regalis
FEPE,Fea's Petrel,Pterodroma,feae
FEPO,Ferruginous Pygmy-Owl,Glaucidium,brasilianum
FFSH,Flesh-footed Shearwater,Ardenna,carneipes
FGSP,Florida Grasshopper Sparrow,Ammodramus,savannarum floridanus
FICR,Fish Crow,Corvus,ossifragus
FIEL,Fieldfare,Turdus,pilaris
FISP,Field Sparrow,Spizella,pusilla
FLFL,Flammulated Flycatcher,Ramphotrigon,flammulatum
FLIN,Flicker Intergrade,Colaptes,auratus auratus x cafer
FLOW,Flammulated Owl,Psiloscops,flammeolus
FLSJ,Florida Scrub-Jay,Aphelocoma,coerulescens
FOEL,Forest Elaenia,Myiopagis,gaimardii
FOSP,Fox Sparrow,Passerella,iliaca
FOTE,Forster's Tern,Sterna,forsteri
FOTH,Forest Thrush,Turdus,lherminieri
FRGU,Franklin's Gull,Leucophaeus,pipixcan
FRTA,Flame-rumped Tanager,Ramphocelus,flammigerus
FSSP,Five-striped Sparrow,Amphispizopsis,quinquestriata
FTFL,Fork-tailed Flycatcher,Tyrannus,savana
FTHE,Fasciated Tiger-Heron,Tigrisoma,fasciatum
FTHU,Fiery-throated Hummingbird,Panterpe,insignis
FTHW,Flame-throated Warbler,Oreothlypis,gutturalis
FTSP,Fork-tailed Storm-Petrel,Hydrobates,furcatus
FTSW,Fork-tailed Swift,Apus,pacificus
FTWA,Fan-tailed Warbler,Basileuterus,lachrymosus
FUOW,Fulvous Owl,Strix,fulvescens
FUWD,Fulvous Whistling-Duck,Dendrocygna,bicolor
FVEU,Fulvous-vented Euphonia,Euphonia,fulvicrissa
GABU,Greater Antillean Bullfinch,Melopyrrha,violacea
GADW,Gadwall,Mareca,strepera
GAEL,Greater Antillean Elaenia,Elaenia,fallax
GAEM,Garden Emerald,Chlorostilbon,assimilis
GAGR,Greater Antillean Grackle,Quiscalus,niger
GAGT,Gray-and-gold Tanager,Poecilostreptus,palmeri
GANT,Great Antshrike,Taraba,major
GAPE,Galapagos Petrel,Pterodroma,phaeopygia
GAQU,Gambel's Quail,Callipepla,gambelii
GARG,Garganey,Spatula,querquedula
GARK,Green-and-rufous Kingfisher,Chloroceryle,inda
GASH,Galapagos Shearwater,Puffinus,subalaris
GATH,Garnet-throated Hummingbird,Lamprolaima,rhami
GATR,Gartered Trogon,Trogon,caligatus
GBAN,Groove-billed Ani,Crotophaga,sulcirostris
GBAT,Gray-backed Tern,Onychoprion,lunatus
GBBG,Great Black-backed Gull,Larus,marinus
GBCH,Golden-browed Chlorophonia,Chlorophonia,callophrys
GBCR,Gray-breasted Crake,Laterallus,exilis
GBEH,Gray-bellied Hawk,Accipiter,poliogaster
GBFL,Golden-bellied Flycatcher,Myiodynastes,hemichrysus
GBHA,Great Black Hawk,Buteogallus,urubitinga
GBHE,Great Blue Heron,Ardea,herodias
GBMG,Green-breasted Mountain-gem,Lampornis,sybillae
GBSP,Green-backed Sparrow,Arremonops,chloronotus
GBTE,Gull-billed Tern,Gelochelidon,nilotica
GBWA,Golden-browed Warbler,Basileuterus,belli
GBWH,Blue-wg. x Golden-wg. Warbler Hybrid,Vermivora,hybrid
GBWO,Gray-breasted Woodpecker,Melanerpes,hypopolius
GBWR,Gray-barred Wren,Campylorhynchus,megalopterus
GBWW,Gray-breasted Wood-Wren,Henicorhina,leucophrys
GCAF,Gray-capped Flycatcher,Myiozetetes,granadensis
GCAT,Grand Cayman Thrush,Turdus,ravidus
GCBE,Gray-collared Becard,Pachyramphus,major
GCBR,Green-crowned Brilliant,Heliodoxa,jacula
GCBT,Gray-cheeked/Bicknell's Thrush,Catharus,minimus/bicknelli
GCBU,Grand Cayman Bullfinch,Melopyrrha,taylori
GCCU,Gray-capped Cuckoo,Coccyzus,lansbergi
GCDO,Gray-chested Dove,Leptotila,cassinii
GCEM,Golden-crowned Emerald,Cynanthus,auriceps
GCFL,Great Crested Flycatcher,Myiarchus,crinitus
GCHW,Golden-cheeked Woodpecker,Melanerpes,chrysogenys
GCKI,Golden-crowned Kinglet,Regulus,satrapa
GCMA,Golden-collared Manakin,Manacus,vitellinus
GCNU,Gray-cheeked Nunlet,Nonnula,frontalis
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus,poliocephalus
GCRF,Gray-crowned Rosy-Finch,Leucosticte,tephrocotis
GCRS,Golden-crowned Spadebill,Platyrinchus,coronatus
GCRW,Golden-crowned Warbler,Basileuterus,culicivorus
GCSP,Golden-crowned Sparrow,Zonotrichia,atricapilla
GCTE,Great Crested Tern,Thalasseus,bergii
GCTH,Gray-cheeked Thrush,Catharus,minimus
GCWA,Golden-cheeked Warbler,Setophaga,chrysoparia
GCWR,Gray-cowled Wood-Rail,Aramides,cajaneus
GCYE,Gray-crowned Yellowthroat,Geothlypis,poliocephala
GFGR,Golden-fronted Greenlet,Pachysylvia,aurantiifrons
GFHU,Green-fronted Hummingbird,Ramosomyia,viridifrons
GFLY,Grenada Flycatcher,Myiarchus,nugator
GFPE,Gray-faced Petrel,Pterodroma,gouldi
GFQD,Gray-fronted Quail-Dove,Geotrygon,caniceps
GFRL,Green-fronted Lancebill,Doryfera,ludovicae
GFWO,Golden-fronted Woodpecker,Melanerpes,aurifrons
GGMA,Great Green Macaw,Ara,ambiguus
GGOW,Great Gray Owl,Strix,nebulosa
GGWO,Golden-green Woodpecker,Piculus,chrysochloros
GHCH,Gray-headed Chickadee,Poecile,cinctus
GHDO,Gray-headed Dove,Leptotila,plumbeiceps
GHEC,Gray-headed Chachalaca,Ortalis,cinereiceps
GHET,Gray-headed Tanager,Eucometis,penicillata
GHGU,Gray-hooded Gull,Chroicocephalus,cirrocephalus
GHJU,Gray-headed Junco,Junco,hyemalis caniceps
GHKI,Gray-headed Kite,Leptodon,cayanensis
GHMA,Golden-headed Manakin,Ceratopipra,erythrocephala
GHOT,Golden-hooded Tanager,Stilpnia,larvata
GHOW,Great Horned Owl,Bubo,virginianus
GHPI,Gray-headed Piprites,Piprites,griseiceps
GHQU,Golden-headed Quetzal,Pharomachrus,auriceps
GICO,Giant Cowbird,Molothrus,oryzivorus
GIFL,Gilded Flicker,Colaptes,chrysoides
GIKI,Giant Kingbird,Tyrannus,cubensis
GIWO,Gila Woodpecker,Melanerpes,uropygialis
GIWR,Giant Wren,Campylorhynchus,chiapensis
GKIN,Green Kingfisher,Chloroceryle,americana
GKIS,Great Kiskadee,Pitangus,sulphuratus
GLGU,Glaucous Gull,Larus,hyperboreus
GLHA,Gray-lined Hawk,Buteo,nitidus
GLIB,Glossy Ibis,Plegadis,falcinellus
GLTH,Glow-throated Hummingbird,Selasphorus,ardens
GMAG,Green Mango,Anthracothorax,viridis
GMAK,Green Manakin,Cryptopipo,holochlora
GNBM,Green-breasted Mango,Anthracothorax,prevostii
GNLA,Greater Necklaced Laughingthrush,Garrulax,pectoralis
GNTA,Green-naped Tanager,Tangara,fucosa
GNWO,Golden-naped Woodpecker,Melanerpes,chrysauchen
GOEA,Golden Eagle,Aquila,chrysaetos
GOSW,Golden Swallow,Tachycineta,euchrysea
GOVI,Golden Vireo,Vireo,hypochryseus
GOWO,Golden-olive Woodpecker,Colaptes,rubiginosus
GRAE,Gray Elaenia,Myiopagis,caniceps
GRAF,Gray Francolin,Francolinus,pondicerianus
GRAH,Gray Heron,Ardea,cinerea
GRAK,Gray Kingbird,Tyrannus,dominicensis
GRAM,Greater Amakihi,Viridonia,sagittirostris
GRAP,Gray Partridge,Perdix,perdix
GRAT,Gray Thrasher,Toxostoma,cinereum
GRAU,Great Auk,Pinguinus,impennis
GRAW,Gray Wagtail,Motacilla,cinerea
GRBU,Gray Bunting,Emberiza,variabilis
GRCA,Gray Catbird,Dumetella,carolinensis
GRCO,Great Cormorant,Phalacrocorax,carbo
GRCU,Great Curassow,Crax,rubra
GRCW,Gray-crowned Woodpecker,Colaptes,auricularis
GRDO,Grenada Dove,Leptotila,wellsi
GREF,Great Frigatebird,Fregata,minor
GREG,Great Egret,Ardea,alba
GREH,Green Hermit,Phaethornis,guy
GREJ,Great Jacamar,Jacamerops,aureus
GREL,Greenish Elaenia,Myiopagis,viridicata
GREP,Green Parakeet,Psittacara,holochlorus
GRET,Green Thorntail,Discosura,conversii
GRFL,Gray Flycatcher,Empidonax,wrightii
GRGO,Graylag Goose,Anser,anser
GRGU,Gray Gull,Leucophaeus,modestus
GRHA,Gray Hawk,Buteo,plagiatus
GRHE,Green Heron,Butorides,virescens
GRHO,Green Honeycreeper,Chlorophanes,spiza
GRIB,Green Ibis,Mesembrinibis,cayennensis
GRJA,Green Jay,Cyanocorax,yncas
GRKF,Greater Koa-Finch,Rhodacanthis,palmeri
GRKN,Great Knot,Calidris,tenuirostris
GRLC,Great Lizard-Cuckoo,Coccyzus,merlini
GRNI,Gray Nightjar,Caprimulgus,jotaka
GRPC,Greater Prairie-Chicken,Tympanuchus,cupido
GRPE,Greater Pewee,Contopus,pertinax
GRPO,Great Potoo,Nyctibius,grandis
GRPU,Greenish Puffleg,Haplophaedia,aureliae
GRRO,Greater Roadrunner,Geococcyx,californianus
GRSA,Green Sandpiper,Tringa,ochropus
GRSC,Greater Scaup,Aythya,marila
GRSF,Gray Silky-flycatcher,Ptiliogonys,cinereus
GRSG,Greater Sage-Grouse,Centrocercus,urophasianus
GRSH,Great Shearwater,Ardenna,gravis
GRSK,Great Skua,Stercorarius,skua
GRSP,Grasshopper Sparrow,Ammodramus,savannarum
GRSV,Green Shrike-Vireo,Vireolanius,pulchellus
GRSW,Gray-rumped Swift,Chaetura,cinereiventris
GRTA,Greater Ani,Crotophaga,major
GRTI,Great Tinamou,Tinamus,major
GRTR,Gray Trembler,Cinclocerthia,gutturalis
GRUP,Green-rumped Parrotlet,Forpus,passerinus
GRVI,Gray Vireo,Vireo,vicinior
GRWA,Grace's Warbler,Setophaga,graciae
GRWR,Grass Wren,Cistothorus,platensis
GRYE,Greater Yellowlegs,Tringa,melanoleuca
GRYF,Grassland Yellow-Finch,Sicalis,luteola
GSAP,Greater Sand-Plover,Charadrius,leschenaultii
GSBR,Green-striped Brushfinch,Arremon,virenticeps
GSFL,Gray-streaked Flycatcher,Muscicapa,griseisticta
GSGB,Greater Snow Goose Blue-morph,Anser,caerulescens atlantica
GSGI,Greater Snow Goose Intermediate-morph,Anser,caerulescens atlantica
GSGW,Greater Snow Goose White-morph,Anser,caerulescens atlantica
GSTS,Great Swallow-tailed Swift,Panyptila,sanctihieronymi
GSWO,Great Spotted Woodpecker,Dendrocopos,major
GTCA,Green-throated Carib,Eulampis,holosericeus
GTCH,Gray-throated Chat,Granatellus,sallaei
GTGR,Great-tailed Grackle,Quiscalus,mexicanus
GTLE,Gray-throated Leaftosser,Sclerurus,albigularis
GTMG,Green-throated Mountain-gem,Lampornis,viridipallens
GTTA,Gray-tailed Tattler,Tringa,brevipes
GTTO,Green-tailed Towhee,Pipilo,chlorurus
GTWA,Green-tailed Warbler,Microligea,palustris
GUCA,Guadalupe Caracara,Caracara,lutosa
GUHA,Gundlach's Hawk,Accipiter,gundlachi
GUJU,Guadalupe Junco,Junco,insularis
GUMU,Guadalupe Murrelet,Synthliboramphus,hypoleucus
GUSG,Gunnison Sage-Grouse,Centrocercus,minimus
GUSP,Guadalupe Storm-Petrel,Hydrobates,macrodactylus
GUTY,Guatemalan Tyrannulet,Zimmerius,vilissimus
GUWO,Guadeloupe Woodpecker,Melanerpes,herminieri
GWCS,Gambel's White-crowned Sparrow,Zonotrichia,leucophrys gambelii
GWFG,Greater White-fronted Goose,Anser,albifrons
GWGU,Glaucous-winged Gull,Larus,glaucescens
GWHE,Great White Heron,Ardea,herodias occidentalis
GWTE,Green-winged Teal,Anas,crecca
GWWA,Golden-winged Warbler,Vermivora,chrysoptera
GYBM,Gray-breasted Martin,Progne,chalybea
GYRF,Gyrfalcon,Falco,rusticolus
HAAK,Hawaii Akepa,Loxops,coccineus
HAAM,Hawaii Amakihi,Chlorodrepanis,virens
HACO,Hawaiian Coot,Fulica,alai
HADU,Harlequin Duck,Histrionicus,histrionicus
HAEA,Harpy Eagle,Harpia,harpyja
HAEL,Hawaii Elepaio,Chasiempis,sandwichensis
HAFL,Hammond's Flycatcher,Empidonax,hammondii
HAGA,Hawaiian Gallinule,Gallinula,galeata sandvicensis
HAGO,Hawaiian Goose,Branta,sandvicensis
HAHA,Harris's Hawk,Parabuteo,unicinctus
HAMA,Hawaii Mamo,Drepanis,pacifica
HAOO,Hawaii Oo,Moho,nobilis
HAPE,Hawaiian Petrel,Pterodroma,sandwichensis
HARA,Hawaiian Rail,Zapornia,sandwichensis
HASP,Harris's Sparrow,Zonotrichia,querula
HAST,Hawaiian Stilt,Himantopus,mexicanus knudseni
HAWD,Hawaiian Duck,Anas,wyvilliana
HAWF,Hawfinch,Coccothraustes,coccothraustes
HAWH,Hawaiian Hawk,Buteo,solitarius
HAWO,Hairy Woodpecker,Dryobates,villosus
HAWR,Happy Wren,Pheugopedius,felix
HBKI,Hook-billed Kite,Chondrohierax,uncinatus
HCRE,Hawaii Creeper,Loxops,mana
HCRO,Hawaiian Crow,Corvus,hawaiiensis
HCRW,Hooded Crow,Corvus,cornix
HDFL,Hammond's/Dusky Flycatcher,Empidonax,hammondii/oberholseri
HEEG,Heermann's Gull,Larus,heermanni
HELG,Helmeted Guineafowl,Numida,meleagris
HEPE,Herald Petrel,Pterodroma,heraldica
HERG,Herring Gull,Larus,argentatus
HESP,Henslow's Sparrow,Centronyx,henslowii
HETA,Hepatic Tanager,Piranga,flava
HETH,Hermit Thrush,Catharus,guttatus
HEWA,Hermit Warbler,Setophaga,occidentalis
HICR,Hispaniolan Crossbill,Loxia,megaplaga
HIEM,Hispaniolan Emerald,Riccordia,swainsonii
HIEU,Hispaniolan Euphonia,Chlorophonia,musica
HIGU,Highland Guan,Penelopina,nigra
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus,longirostris
HIMA,Hispaniolan Mango,Anthracothorax,dominicus
HINI,Hispaniolan Nightjar,Antrostomus,ekmani
HIOR,Hispaniolan Oriole,Icterus,dominicensis
HIPC,Hispaniolan Palm-Crow,Corvus,palmarum
HIPE,Hispaniolan Pewee,Contopus,hispaniolensis
HISN,Himalayan Snowcock,Tetraogallus,himalayensis
HISP,Hispaniolan Spindalis,Spindalis,dominicensis
HITI,Highland Tinamou,Nothocercus,bonapartei
HITR,Hispaniolan Trogon,Priotelus,roseigaster
HIWO,Hispaniolan Woodpecker,Melanerpes,striatus
HOCR,Hooded Crane,Grus,monacha
HOEM,Honduran Emerald,Amazilia,luciae
HOFI,House Finch,Haemorhous,mexicanus
HOGR,Horned Grebe,Podiceps,auritus
HOGU,Horned Guan,Oreophasis,derbianus
HOLA,Horned Lark,Eremophila,alpestris
HOME,Hooded Merganser,Lophodytes,cucullatus
HOOG,Hooded Grosbeak,Coccothraustes,abeillei
HOOR,Hooded Oriole,Icterus,cucullatus
HOPU,Horned Puffin,Fratercula,corniculata
HORE,Hoary Redpoll,Acanthis,hornemanni
HOSP,House Sparrow,Passer,domesticus
HOWA,Hooded Warbler,Setophaga,citrina
HOWO,Hoffmann's Woodpecker,Melanerpes,hoffmannii
HOWR,House Wren,Troglodytes,aedon
HOYE,Hooded Yellowthroat,Geothlypis,nelsoni
HPAK,Hispaniolan Parakeet,Psittacara,chloropterus
HPAT,Hispaniolan Parrot,Amazona,ventralis
HRLH,Harlan's Hawk,Buteo,jamaicensis harlani
HUGO,Hudsonian Godwit,Limosa,haemastica
HUSA,Humboldt's Sapphire,Chrysuronia,humboldtii
HUVI,Hutton's Vireo,Vireo,huttoni
HWAM,Hwamei,Garrulax,canorus
HYBL,Hybrid Bluebird,Sialia,hybrid
HYCH,Hybrid Chickadee,Poecile,hybrid
HYHU,Hybrid Hummingbird,Trochilidae,hybrid
HYSA,Hybrid Sapsucker,Sphyrapicus,hybrid
HYTO,Hybrid Towhee,Pipilo,hybrid
HYWA,Hybrid Warbler,Parulidae,hybrid
IBIW,Ivory-billed Woodcreeper,Xiphorhynchus,flavigaster
IBWO,Ivory-billed Woodpecker,Campephilus,principalis
ICGU,Iceland Gull,Larus,glaucoides
ICTO,Inyo California Towhee,Melozone,crissalis eremophilus
IIWI,Iiwi,Drepanis,coccinea
ILBH,Indigo X Lazuli Bunting Hybrid,Passerina,cyanea x amoena
ILTE,Interior Least Tern,Sternula,antillarum athalassos
IMPA,Imperial Parrot,Amazona,imperialis
IMWO,Imperial Woodpecker,Campephilus,imperialis
INBU,Indigo Bunting,Passerina,cyanea
INDO,Inca Dove,Columbina,inca
INEG,Intermediate Egret,Ardea,intermedia
INPE,Indian Peafowl,Pavo,cristatus
INSI,Indian Silverbill,Euodice,malabarica
INTE,Inca Tern,Larosterna,inca
INWO,Inagua Woodstar,Nesophlox,lyrura
IPSP,Ipswich Sparrow,Passerculus,sandwichensis princeps
ISCA,Island Canary,Serinus,canaria
ISSJ,Island Scrub-Jay,Aphelocoma,insularis
ISWR,Isthmian Wren,Cantorchilus,elutus
IVGU,Ivory Gull,Pagophila,eburnea
JABE,Jamaican Becard,Pachyramphus,niger
JABI,Jabiru,Jabiru,mycteria
JABL,Jamaican Blackbird,Nesopsar,nigerrimus
JABW,Japanese Bush-Warbler,Horornis,diphone
JACR,Jamaican Crow,Corvus,jamaicensis
JAEL,Jamaican Elaenia,Myiopagis,cotta
