Alpha Code,Common Name,Genus,Species
BAWB,Black-and-white Becard,Pachyramphus,albogriseus
BAWH,Black-and-white Hawk-Eagle,Spizaetus,melanoleucus
BAWM,Blue-and-white Mockingbird,Melanotis,hypoleucus
BAWO,Bahama Woodstar,Nesophlox,evelynae
BAWS,Blue-and-white Swallow,Pygochelidon,cyanoleuca
BAWW,Black-and-white Warbler,Mniotilta,varia
BAYE,Bahama Yellowthroat,Geothlypis,rostrata
BAYM,Blue-and-yellow Macaw,Ara,ararauna
BAYS,Black-and-yellow Silky-flycatcher,Phainoptila,melanoxantha
BAYT,Black-and-yellow Tanager,Chrysothlypis,chrysomelas
BAYW,Bay Wren,Cantorchilus,nigricapillus
BBAL,Black-browed Albatross,Thalassarche,melanophris
BBCU,Black-billed Cuckoo,Coccyzus,erythropthalmus
BBEH,Buff-bellied Hummingbird,Amazilia,yucatanensis
BBEW,Black-bellied Wren,Pheugopedius,fasciatoventris
BBFL,Buff-breasted Flycatcher,Empidonax,fulvifrons
BBHE,Boat-billed Heron,Cochlearius,cochlearius
BBIH,Broad-billed Hummingbird,Cynanthus,latirostris
BBIS,Broad-billed Sandpiper,Calidris,falcinellus
BBMA,Black-billed Magpie,Pica,hudsonia
BBMO,Broad-billed Motmot,Electron,platyrhynchum
BBNT,Black-billed Nightingale-Thrush,Catharus,gracilirostris
BBNW,Black-banded Woodcreeper,Dendrocolaptes,picumnus
BBOH,Bullock's x Baltimore Oriole Hybrid,Icterus,bullockii x galbula
BBOR,Black-backed Oriole,Icterus,abeillei
BBPA,Black-billed Parrot,Amazona,agilis
BBPL,Black-bellied Plover,Pluvialis,squatarola
BBPU,Black-breasted Puffbird,Notharchus,pectoralis
BBRC,Bay-breasted Cuckoo,Coccyzus,rufigularis
BBRW,Buff-breasted Wren,Cantorchilus,leucotis
BBSA,Buff-breasted Sandpiper,Calidris,subruficollis
BBSC,Brown-billed Scythebill,Campylorhamphus,pusillus
BBSO,Brown-backed Solitaire,Myadestes,occidentalis
BBSP,Black-bellied Storm-Petrel,Fregetta,tropica
BBST,Black-billed Streamertail,Trochilus,scitulus
BBTO,Broad-billed Tody,Todus,subulatus
BBWA,Bay-breasted Warbler,Setophaga,castanea
BBWD,Black-bellied Whistling-Duck,Dendrocygna,autumnalis
BBWO,Black-backed Woodpecker,Picoides,arcticus
BBWQ,Black-breasted Wood-Quail,Odontophorus,leucolaemus
BCAF,Black-capped Flycatcher,Empidonax,atriceps
BCAH,Blue-capped Hummingbird,Eupherusa,cyanophrys
BCAP,Black-crowned Antpitta,Pittasoma,michleri
BCAS,Black-crowned Antshrike,Thamnophilus,atrinucha
BCAT,Black-cheeked Ant-Tanager,Habia,atrimaxillaris
